Country,Gender,no,yes
australia,female,25.0,75.0
australia,male,45.45454545454545,54.54545454545454
belgium,female,100.0,0.0
belgium,male,100.0,0.0
bosnia and herzegovina,male,100.0,0.0
brazil,male,66.66666666666666,33.33333333333333
canada,female,11.11111111111111,88.88888888888889
canada,male,55.26315789473685,44.73684210526316
colombia,male,100.0,0.0
costa rica,male,100.0,0.0
croatia,male,0.0,100.0
czech republic,male,100.0,0.0
denmark,male,0.0,100.0
finland,male,100.0,0.0
france,male,100.0,0.0
georgia,male,100.0,0.0
germany,male,50.0,50.0
greece,male,100.0,0.0
india,female,0.0,100.0
india,male,83.33333333333334,16.666666666666664
ireland,female,100.0,0.0
ireland,male,41.66666666666667,58.333333333333336
israel,male,100.0,0.0
italy,male,100.0,0.0
mexico,male,100.0,0.0
moldova,male,0.0,100.0
netherlands,female,100.0,0.0
netherlands,male,64.28571428571429,35.714285714285715
new zealand,female,0.0,100.0
new zealand,male,25.0,75.0
nigeria,male,100.0,0.0
philippines,male,100.0,0.0
poland,female,0.0,100.0
poland,male,0.0,100.0
portugal,male,100.0,0.0
russia,male,100.0,0.0
singapore,male,100.0,0.0
south africa,female,0.0,100.0
south africa,male,50.0,50.0
sweden,female,50.0,50.0
sweden,male,80.0,20.0
switzerland,male,50.0,50.0
thailand,male,100.0,0.0
united kingdom,female,37.5,62.5
united kingdom,male,52.63157894736842,47.368421052631575
united states,female,29.268292682926827,70.73170731707317
united states,male,50.14577259475219,49.85422740524781
