Country,no,yes
australia,39.59095443964083,60.40904556035917
belgium,100.0,0.0
bosnia and herzegovina,100.0,0.0
brazil,66.66666666666666,33.33333333333333
canada,46.10406973634954,53.89593026365046
colombia,100.0,0.0
costa rica,100.0,0.0
croatia,0.0,100.0
czech republic,100.0,0.0
denmark,0.0,100.0
finland,100.0,0.0
france,100.0,0.0
georgia,100.0,0.0
germany,50.0,50.0
greece,100.0,0.0
india,70.37170696499459,29.628293035005417
ireland,50.73980512450379,49.26019487549621
israel,100.0,0.0
italy,100.0,0.0
mexico,100.0,0.0
moldova,0.0,100.0
netherlands,66.89865897131217,33.101341028687834
new zealand,19.588146659969865,80.41185334003013
nigeria,100.0,0.0
philippines,100.0,0.0
poland,0.0,100.0
portugal,100.0,0.0
russia,100.0,0.0
singapore,100.0,0.0
south africa,39.17629331993973,60.823706680060276
sweden,70.80369843527738,29.196301564722617
switzerland,50.0,50.0
thailand,100.0,0.0
united kingdom,50.59973518186774,49.40026481813226
united states,45.78267656937414,54.217323430625854
